Shift,Monitoring Points,Price,CPU_Time
10,1024,11.726253436805871,0.00014380931854248046 
11,2048,11.720536101343898,0.00021996259689331055 
12,4096,11.719343903445253,0.0003777766227722168 
13,8192,11.718993072198138,0.0006674337387084961 
14,16384,11.718923747152372,0.0014665842056274414 
15,32768,11.718898240073292,0.002897191047668457 
16,65536,11.718895825143735,0.005238103866577149 
17,131072,11.718894612617845,0.012311697006225586 
18,262144,11.718894272831545,0.028975963592529297 
19,524288,11.718894205965578,0.06103920936584473 
20,1048576,11.718894180239642,0.13151121139526367 
21,2097152,11.718894178309034,0.24618911743164062 
22,4194304,11.718894177343598,0.5290992259979248 
23,8388608,11.718894176901776,1.1292610168457031 
24,16777216,11.718894176891546,2.3377530574798584 
25,33554432,11.718894176886433,4.693404197692871 
26,67108864,11.718894176883875,12.546394109725952 
27,134217728,11.718894176882596,32.11969518661499 
