Shift,Monitoring Points,Price,CPU_Time
MC,1000,1.46938783559254,0.016705751419067383
MC,10000,1.2370479184242655,0.10567593574523926
MC,100000,1.311960320509549,1.0118262767791748
MC,1000000,1.3131852431838393,10.393800020217896
10,1024,1.3255006879031757,0.004887104034423828 
11,2048,1.305642518507227,0.0003631114959716797 
12,4096,1.3053520932687976,0.0004911422729492188 
13,8192,1.3052036800500046,0.0007550716400146484 
14,16384,1.3051286881840554,0.0017170906066894531 
15,32768,1.3050909979554148,0.002995014190673828 
16,65536,1.305072104529275,0.005647182464599609 
17,131072,1.3050715768567216,0.012531042098999023 
18,262144,1.3050713131882583,0.030941009521484375 
19,524288,1.3050711813960099,0.05752277374267578 
20,1048576,1.305071115510385,0.10642004013061523 
21,2097152,1.3050711094876242,0.2473130226135254 
22,4194304,1.3050711064761171,0.5095298290252686 
23,8388608,1.305071105546566,1.0718281269073486 
24,16777216,1.3050711054025106,2.22951602935791 
25,33554432,1.30507110533049,4.466403007507324 
26,67108864,1.305071105328453,11.758721113204956 
27,134217728,1.3050711053274346,28.332471132278442 
