Shift,Monitoring Points,Price,CPU_Time
MC,1000,1.2878418094848234,0.04708719253540039
MC,10000,1.2646624312031758,0.4322507381439209
MC,100000,1.310741776115615,4.489049196243286
MC,1000000,1.310910502119038,79.32827425003052
10,1024,1.333212824275238,0.005237102508544922 
11,2048,1.3133727022006079,0.0005848407745361328 
12,4096,1.3130824705136546,0.0005466938018798828 
13,8192,1.3129341743917065,0.0012738704681396484 
14,16384,1.3128592461858801,0.0022478103637695312 
15,32768,1.3128215890677326,0.0036649703979492188 
16,65536,1.3128027125171673,0.007330179214477539 
17,131072,1.3128021853197995,0.01831793785095215 
18,262144,1.3128019218878104,0.03020310401916504 
19,524288,1.3128017902135205,0.07161593437194824 
20,1048576,1.3128017243868053,0.12610793113708496 
21,2097152,1.3128017183694267,0.25861501693725586 
22,4194304,1.3128017153606117,1.6030619144439697 
23,8388608,1.3128017144318924,1.1888659000396729 
24,16777216,1.3128017142879647,2.2306671142578125 
25,33554432,1.3128017142160082,4.561352014541626 
26,67108864,1.3128017142139723,11.559386014938354 
27,134217728,1.3128017142129558,27.66314196586609 
