Shift,Monitoring Points,Price,CPU_Time
10,1024,1.3255006879031734,0.0001409578323364258 
11,2048,1.305642518507227,0.0002071213722229004 
12,4096,1.3053520932687954,0.00035153627395629884 
13,8192,1.3052036800500024,0.0006540060043334961 
14,16384,1.3051286881840554,0.001531529426574707 
15,32768,1.3050909979554146,0.0030242919921875 
16,65536,1.305072104529275,0.005355048179626465 
17,131072,1.3050715768567216,0.013150215148925781 
18,262144,1.3050713131882583,0.028177738189697266 
19,524288,1.3050711813960099,0.06016993522644043 
20,1048576,1.305071115510385,0.11836695671081543 
21,2097152,1.3050711094876242,0.2520911693572998 
22,4194304,1.3050711064761171,0.5114519596099854 
23,8388608,1.305071105546566,1.139308214187622 
24,16777216,1.3050711054025106,2.390381097793579 
25,33554432,1.30507110533049,5.028089284896851 
26,67108864,1.305071105328453,12.743562936782837 
27,134217728,1.3050711053274346,31.647863626480103 
