Shift,Monitoring Points,Price,CPU_Time
10,1024,1.333212824275237,0.0001488184928894043 
11,2048,1.313372702200609,0.0002603411674499512 
12,4096,1.3130824705136523,0.0003972196578979492 
13,8192,1.312934174391703,0.0007053136825561524 
14,16384,1.3128592461858801,0.0015826225280761719 
15,32768,1.3128215890677326,0.0030617475509643554 
16,65536,1.312802712517167,0.006024932861328125 
17,131072,1.3128021853197995,0.013616085052490234 
18,262144,1.3128019218878104,0.03236103057861328 
19,524288,1.3128017902135205,0.06395101547241211 
20,1048576,1.3128017243868053,0.13069629669189453 
21,2097152,1.3128017183694267,0.276231050491333 
22,4194304,1.3128017153606117,0.5337510108947754 
23,8388608,1.3128017144318924,1.1894619464874268 
24,16777216,1.3128017142879647,2.4625580310821533 
25,33554432,1.3128017142160082,4.99587607383728 
26,67108864,1.3128017142139723,12.95044493675232 
27,134217728,1.3128017142129558,32.51866793632507 
