Shift,Monitoring Points,Price,CPU_Time
MC,1000,11.622582547333582,0.04541301727294922
MC,10000,11.770467366779837,0.4230630397796631
MC,100000,11.733539019326132,4.380225896835327
MC,1000000,11.720280565733368,80.00066113471985
10,1024,11.726253436805871,0.028174161911010742 
11,2048,11.720536101343898,0.0009891986846923828 
12,4096,11.719343903445242,0.004746913909912109 
13,8192,11.718993072198124,0.004682064056396484 
14,16384,11.718923747152372,0.0022029876708984375 
15,32768,11.718898240073294,0.0038611888885498047 
16,65536,11.718895825143735,0.02975606918334961 
17,131072,11.718894612617845,0.02780628204345703 
18,262144,11.718894272831545,0.10159802436828613 
19,524288,11.718894205965578,0.11144590377807617 
20,1048576,11.718894180239642,0.13492298126220703 
21,2097152,11.718894178309034,0.25208401679992676 
22,4194304,11.718894177343598,0.8908653259277344 
23,8388608,11.718894176901776,1.233557939529419 
24,16777216,11.718894176891546,2.2442030906677246 
25,33554432,11.718894176886433,4.547518014907837 
26,67108864,11.718894176883875,11.427653789520264 
27,134217728,11.718894176882596,25.91713786125183 
