Process,Path,Price,Time
Gaussian,500000,11.709442325417273,5.892729043960571
Gaussian,500000,11.741201615633445,5.845298767089844
Gaussian,500000,11.722442760314518,5.894897937774658
Gaussian,500000,11.719187028662317,5.9011430740356445
Gaussian,500000,11.699669606828815,5.864163160324097
Gaussian,500000,11.731823591244064,5.850337982177734
Gaussian,500000,11.741243758988624,5.845742702484131
Gaussian,500000,11.722916910956481,5.906852722167969
Gaussian,500000,11.742768458258045,5.837682008743286
Gaussian,500000,11.726594893959124,5.894395112991333
Gaussian,500000,11.72296354227785,5.875502109527588
Gaussian,500000,11.724102806378587,5.887663125991821
Gaussian,500000,11.700987549609467,5.851029872894287
Gaussian,500000,11.722432337887538,5.873160123825073
Gaussian,500000,11.728208513126626,5.896903991699219
Gaussian,500000,11.720950317888407,5.9017980098724365
Gaussian,500000,11.709032591634864,5.889035224914551
Gaussian,500000,11.705415125145812,5.888094902038574
Gaussian,500000,11.722076425138685,5.891924142837524
Gaussian,500000,11.718973471577248,5.903768062591553
Gaussian,500000,11.701329894396785,5.863577127456665
Gaussian,500000,11.708406443618136,5.9130659103393555
Gaussian,500000,11.71447589573436,5.876774787902832
Gaussian,500000,11.723781969992627,5.9098639488220215
Gaussian,500000,11.710351701051042,5.883435010910034
Gaussian,500000,11.700302680181919,5.908600091934204
Gaussian,500000,11.712501816792038,5.927322149276733
Gaussian,500000,11.698534023039542,5.8753440380096436
Gaussian,500000,11.71991124875097,5.90463399887085
Gaussian,500000,11.716609585457627,5.899929046630859
Gaussian,500000,11.709627179711903,5.899840831756592
Gaussian,500000,11.723472034550527,5.914053916931152
Gaussian,500000,11.714813201709417,5.907599925994873
Gaussian,500000,11.722177947776178,5.897359132766724
Gaussian,500000,11.72944598405497,5.890621900558472
Gaussian,500000,11.738051591148983,5.929157733917236
Gaussian,500000,11.703703272797863,5.911038398742676
Gaussian,500000,11.723445891817143,5.8970160484313965
Gaussian,500000,11.718652352161692,5.913863182067871
Gaussian,500000,11.704075956441367,5.888413190841675
Gaussian,500000,11.725058766398538,5.926284074783325
Gaussian,500000,11.742553691125407,5.904746055603027
Gaussian,500000,11.693974278311396,5.924586057662964
Gaussian,500000,11.704463756858893,5.929383993148804
Gaussian,500000,11.717714201453711,5.907362222671509
Gaussian,500000,11.720963199837968,5.957659959793091
Gaussian,500000,11.733474935080402,5.906522035598755
Gaussian,500000,11.729397183657767,5.925012111663818
Gaussian,500000,11.743561188460145,5.887956857681274
Gaussian,500000,11.709473878990815,5.950093030929565
