Process,Strike,Price,Pct_Difference
NIG,80,21.276921418455746,2.1463453422833663
CGMY,80,21.445402842448992,2.9551917623319865
DE,80,21.448507545137225,2.9700968337349534
JD,80,21.45565351553036,3.0044032423185683
NIG,85,16.775110040695957,3.989265556978707
CGMY,85,16.91570779375665,4.860834032194283
DE,85,16.933785729050857,4.9728995393337705
JD,85,16.94229434261691,5.0256446166236115
NIG,90,12.454460926531494,6.379751528874919
CGMY,90,12.53757141793415,7.089639614518413
DE,90,12.54200680122574,7.127524431475016
JD,90,12.53882310780194,7.100330920863369
NIG,95,8.43921101744101,7.738522764402733
CGMY,95,8.449195386391153,7.865987424215129
DE,95,8.421006027735137,7.506110197185436
JD,95,8.406983001907301,7.32708634243696
NIG,100,4.9566220583447045,3.9309046201177775
CGMY,100,4.9303534038940455,3.3801010712343245
DE,100,4.911015620157343,2.9746246533339327
JD,100,4.904606350349352,2.840234497849425
NIG,105,2.3736151433723953,-9.481892618801355
CGMY,105,2.378960961502799,-9.278029182506994
DE,105,2.4036154846241633,-8.337825890678829
JD,105,2.4120533868482728,-8.01604544462521
NIG,110,0.952824635339622,-26.651118589919832
CGMY,110,0.9633030513305416,-25.844485277369618
DE,110,0.9848219125718977,-24.18795337975595
JD,110,0.9951037968608727,-23.39644916857927
NIG,115,0.37778895690453934,-34.963436867341976
CGMY,115,0.3643707785136294,-37.27338317492075
DE,115,0.3577667418772166,-38.410271476669024
JD,115,0.3604718115255746,-37.94459234616937
NIG,120,0.16320505562927914,-30.720233301551563
CGMY,120,0.14544543334764704,-38.259108145716056
DE,120,0.13306044612498563,-43.51647607491957
JD,120,0.13094397373326855,-44.41490849759484
