Process,Shift,FFT_Points,Price,CPU_Time
Gaussian,10,1024,4.809167608140343,0.0024922513961791993
NIG,10,1024,4.991310999762379,0.004870307445526123
JD,10,1024,4.942897284905473,0.009159312248229981
CGMY,10,1024,4.966885171646868,0.030620903968811036
DE,10,1024,4.9489847574643155,0.006224260330200195
Gaussian,11,2048,4.791601874472845,0.003943068981170654
NIG,11,2048,4.975626290481969,0.007756781578063965
JD,11,2048,4.923900892663242,0.015449860095977784
CGMY,11,2048,4.949291344690255,0.058158838748931886
DE,11,2048,4.930220194138314,0.009531686305999756
Gaussian,12,4096,4.788399515718712,0.007076256275177002
NIG,12,4096,4.972552707063599,0.013998494148254395
JD,12,4096,4.920293240349505,0.028411877155303956
CGMY,12,4096,4.945880777454253,0.11354716300964356
DE,12,4096,4.9266406620542265,0.0166811203956604
Gaussian,13,8192,4.786970492711634,0.012526412010192872
NIG,13,8192,4.97123167154189,0.025048789978027345
JD,13,8192,4.918714925007962,0.05217836856842041
CGMY,13,8192,4.9444050023757455,0.22314371824264526
DE,13,8192,4.925078181047355,0.029181184768676757
Gaussian,14,16384,4.786931017109985,0.025170350074768068
NIG,14,16384,4.971194499024123,0.04812479019165039
JD,14,16384,4.918670883514772,0.10024476051330566
CGMY,14,16384,4.944363601391997,0.444141149520874
DE,14,16384,4.925034532248565,0.05527043342590332
Gaussian,15,32768,4.786911327402208,0.04877486228942871
NIG,15,32768,4.971176129944328,0.09298171997070312
JD,15,32768,4.918649025956002,0.19735407829284668
CGMY,15,32768,4.944343110028496,0.8839985132217407
DE,15,32768,4.925012881808763,0.10602948665618897
Gaussian,16,65536,4.7869014948322794,0.09397189617156983
NIG,16,65536,4.971166999470304,0.18346617221832276
JD,16,65536,4.918638138335923,0.38749864101409914
CGMY,16,65536,4.94433291673744,1.7637589693069458
DE,16,65536,4.925002100417415,0.202677321434021
Gaussian,17,131072,4.786896581650769,0.3017921447753906
NIG,17,131072,4.971162447720278,0.36830902099609375
JD,17,131072,4.918632704860089,0.7791359424591064
CGMY,17,131072,4.944327833201728,3.523942232131958
DE,17,131072,4.924996720720173,0.4090752601623535
Gaussian,18,262144,4.786896091799117,0.7118268013000488
NIG,18,262144,4.971161994431577,1.0319979190826416
JD,18,262144,4.918632163478689,1.855713129043579
CGMY,18,262144,4.944327326858572,7.0337159633636475
DE,18,262144,4.9249961847353285,1.0925791263580322
Gaussian,19,524288,4.786895846834331,1.5165932178497314
NIG,19,524288,4.971161767619345,2.2272660732269287
JD,19,524288,4.918631892658788,3.834416151046753
CGMY,19,524288,4.944327073523465,13.863600015640259
DE,19,524288,4.924995916605452,2.3899588584899902
Gaussian,20,1048576,4.786895785178636,3.5136430263519287
NIG,20,1048576,4.971161710515906,4.68701696395874
JD,20,1048576,4.918631824484729,7.9588658809661865
CGMY,20,1048576,4.944327009745513,27.457353830337524
DE,20,1048576,4.924995849107357,5.092417001724243
Gaussian,21,2097152,4.786895769970145,7.011552095413208
NIG,21,2097152,4.971161696432362,9.552069664001465
JD,21,2097152,4.918631807669705,16.208520889282227
CGMY,21,2097152,4.944326994015447,54.00087022781372
DE,21,2097152,4.924995832459206,10.331559181213379
Gaussian,22,4194304,4.786895766065536,84.34918999671936
NIG,22,4194304,4.9711616928163105,39.35386085510254
JD,22,4194304,4.918631803352467,82.54857206344604
CGMY,22,4194304,4.944326989976684,145.6641960144043
DE,22,4194304,4.924995828184793,67.6739809513092
