Process,Shift,FFT_Points,Price,CPU_Time
Gaussian,10,1024,1.3324742034640038,0.002499682903289795
NIG,10,1024,0.9910729253170983,0.005689878463745118
JD,10,1024,1.0318717235788981,0.009284088611602783
CGMY,10,1024,1.0007648445708395,0.030639562606811523
DE,10,1024,1.02179707659462,0.006246318817138672
Gaussian,11,2048,1.312631406542763,0.003966555595397949
NIG,11,2048,0.9622219537080146,0.00937096118927002
JD,11,2048,1.0055294115306552,0.015614478588104249
CGMY,11,2048,0.9730699682316849,0.058248751163482666
DE,11,2048,0.9950862480822582,0.009544692039489745
Gaussian,12,4096,1.3123411425840745,0.007114777565002442
NIG,12,4096,0.9618196604725471,0.01725740671157837
JD,12,4096,1.0051503573097627,0.028789358139038088
CGMY,12,4096,0.9726774916217767,0.11369248628616332
DE,12,4096,0.9947026550166278,0.016806712150573732
Gaussian,13,8192,1.3121928281917519,0.012597136497497559
NIG,13,8192,0.9616088262274612,0.03165630578994751
JD,13,8192,1.0049549256862622,0.053074047565460206
CGMY,13,8192,0.972473514162573,0.2232106828689575
DE,13,8192,0.9945046684103847,0.02931173324584961
Gaussian,14,16384,1.3121178903163042,0.025101852416992188
NIG,14,16384,0.961501012301978,0.06140813827514648
JD,14,16384,1.0048557692811568,0.10222103595733642
CGMY,14,16384,0.9723696265634858,0.4441525936126709
DE,14,16384,0.9944041651662643,0.055130505561828615
Gaussian,15,32768,1.3120802282297903,0.04928479194641113
NIG,15,32768,0.9614465113270325,0.12046670913696289
JD,15,32768,1.0048058359161376,0.19910697937011718
CGMY,15,32768,0.9723172136341873,0.8850477695465088
DE,15,32768,0.994353541365318,0.10741903781890869
Gaussian,16,65536,1.3120613491616722,0.09363834857940674
NIG,16,65536,0.9614191131194467,0.23527441024780274
JD,16,65536,1.0047807811001896,0.3903590440750122
CGMY,16,65536,0.9722908906551359,1.7599323749542237
DE,16,65536,0.9943281371214405,0.20413539409637452
Gaussian,17,131072,1.312060821893615,0.31794285774230957
NIG,17,131072,0.9614183468378523,0.4915428161621094
JD,17,131072,1.0047800810133978,0.7775092124938965
CGMY,17,131072,0.9722901548001269,3.5239219665527344
DE,17,131072,0.9943274272295446,0.40590786933898926
Gaussian,18,262144,1.3120605584263991,0.7008371353149414
NIG,18,262144,0.9614179642100731,1.301332950592041
JD,18,262144,1.0047797312756945,1.8701391220092773
CGMY,18,262144,0.9722897872769597,7.030493974685669
DE,18,262144,0.9943270726038597,1.0746090412139893
Gaussian,19,524288,1.3120604267345237,1.4976081848144531
NIG,19,524288,0.9614177730245348,2.6020748615264893
JD,19,524288,1.00477955648334,3.8989980220794678
CGMY,19,524288,0.9722896036165504,13.888489961624146
DE,19,524288,0.9943268953711614,2.4062910079956055
Gaussian,20,1048576,1.3120603608990236,3.5554511547088623
NIG,20,1048576,0.9614176774638645,5.579709053039551
JD,20,1048576,1.0047794691062972,8.125124216079712
CGMY,20,1048576,0.9722895118116504,27.527136087417603
DE,20,1048576,0.9943268067748579,5.116921901702881
Gaussian,21,2097152,1.3120603548808423,7.115945816040039
NIG,21,2097152,0.961417668729208,11.249841928482056
JD,21,2097152,1.0047794611191911,16.44344711303711
CGMY,21,2097152,0.9722895034200327,54.258869647979736
DE,21,2097152,0.9943267986763301,10.439307928085327
