Process,Shift,FFT_Points,Price,CPU_Time
Gaussian,10,1024,11.725863961201208,0.0025191593170166018
NIG,10,1024,12.469802137527715,0.004931418895721435
JD,10,1024,12.550900056501789,0.00977738857269287
CGMY,10,1024,12.550959467003077,0.030513460636138915
DE,10,1024,12.55438273360264,0.006235177516937256
Gaussian,11,2048,11.720147701720482,0.003959510326385498
NIG,11,2048,12.468499590576123,0.007741415500640869
JD,11,2048,12.550298508050744,0.016388912200927735
CGMY,11,2048,12.549997524996645,0.05790232181549072
DE,11,2048,12.553807368873096,0.00949617862701416
Gaussian,12,4096,11.718955820600888,0.00710054874420166
NIG,12,4096,12.468278050789415,0.01398426055908203
JD,12,4096,12.550287012225382,0.03051461458206177
CGMY,12,4096,12.549869609435882,0.11355795621871949
DE,12,4096,12.55379055481929,0.016777138710021972
Gaussian,13,8192,11.718605068789508,0.012658355236053466
NIG,13,8192,12.468205591243914,0.025139930248260497
JD,13,8192,12.550267159046461,0.05662989139556885
CGMY,13,8192,12.549821427161765,0.22315520524978638
DE,13,8192,12.553770753938132,0.02937051296234131
Gaussian,14,16384,11.71853576079461,0.02543766498565674
NIG,14,16384,12.468191995011152,0.04801180362701416
JD,14,16384,12.55026487825612,0.10884418487548828
CGMY,14,16384,12.549812954076542,0.44557392597198486
DE,14,16384,12.553768324675705,0.05617601871490478
Gaussian,15,32768,11.71851025973923,0.04877486228942871
NIG,15,32768,12.46818686008582,0.09266929626464844
JD,15,32768,12.55026373831535,0.21494457721710206
CGMY,15,32768,12.54980964440806,0.8845993280410767
DE,15,32768,12.553767159438708,0.10428588390350342
Gaussian,16,65536,11.718507845391786,0.09381814002990722
NIG,16,65536,12.468186380204228,0.18223419189453124
JD,16,65536,12.550263644659214,0.42179439067840574
CGMY,16,65536,12.549809340168734,1.763698148727417
DE,16,65536,12.553767062001542,0.20451385974884034
Gaussian,17,131072,11.718506633155208,0.3076310157775879
NIG,17,131072,12.468186137683087,0.39673495292663574
JD,17,131072,12.55026359405649,0.8605272769927979
CGMY,17,131072,12.549809185126358,3.513446807861328
DE,17,131072,12.553767009848677,0.41435694694519043
Gaussian,18,262144,11.718506293449568,0.6917617321014404
NIG,18,262144,12.468186069501341,1.0628859996795654
JD,18,262144,12.550263579375965,2.008896827697754
CGMY,18,262144,12.549809141359516,7.047385215759277
DE,18,262144,12.553766994782356,1.085038185119629
Gaussian,19,524288,11.718506226599514,1.4796442985534668
NIG,19,524288,12.468186056105619,2.238814115524292
JD,19,524288,12.550263576536224,4.086086988449097
CGMY,19,524288,12.549809132778133,13.859292030334473
DE,19,524288,12.553766991861918,2.321824073791504
Gaussian,20,1048576,11.718506200879697,3.4876880645751953
NIG,20,1048576,12.468186050947603,4.749181270599365
JD,20,1048576,12.550263575434204,8.61081600189209
CGMY,20,1048576,12.549809129470502,27.499845027923584
DE,20,1048576,12.553766990729772,5.133455753326416
Gaussian,21,2097152,11.718506198949544,6.997030019760132
NIG,21,2097152,12.46818605056068,9.653748035430908
JD,21,2097152,12.550263575351867,17.399522066116333
CGMY,21,2097152,12.549809129222513,54.16223478317261
DE,21,2097152,12.553766990645133,10.4117271900177
Gaussian,22,4194304,11.718506197984338,87.93778204917908
NIG,22,4194304,12.468186050367148,41.49039006233215
JD,22,4194304,12.550263575310595,81.40568709373474
CGMY,22,4194304,12.54980912909844,142.61130213737488
DE,22,4194304,12.553766990602728,66.59794187545776
